Žemaitėjė	<http://dbpedia.org/resource/Samogitia>
Estonia	<http://dbpedia.org/resource/Estonia>
Ethiopia	<http://dbpedia.org/resource/Ethiopia>
Fiji	<http://dbpedia.org/resource/Fiji>
Finland	<http://dbpedia.org/resource/Finland>
Adjara	<http://dbpedia.org/resource/Adjara>
Acharis Avtonomiuri Respublika	<http://dbpedia.org/resource/Adjara>
Afghanistan	<http://dbpedia.org/resource/Afghanistan>
Algeria	<http://dbpedia.org/resource/Algeria>
Shitistan	<http://dbpedia.org/resource/Belarus>
Benin	<http://dbpedia.org/resource/Benin>
Bhutan	<http://dbpedia.org/resource/Bhutan>
Dru Gäkhap	<http://dbpedia.org/resource/Bhutan>
Brug Rgyal-khab	<http://dbpedia.org/resource/Bhutan>
Hungary	<http://dbpedia.org/resource/Hungary>
Burkina Faso	<http://dbpedia.org/resource/Burkina_Faso>
Myanmar	<http://dbpedia.org/resource/Burma>
Burundi	<http://dbpedia.org/resource/Burundi>
Cambodia	<http://dbpedia.org/resource/Cambodia>
155px	<http://dbpedia.org/resource/Cambodia>
India	<http://dbpedia.org/resource/India>
Bharat Ganrajya	<http://dbpedia.org/resource/India>
Chad	<http://dbpedia.org/resource/Chad>
Colombia	<http://dbpedia.org/resource/Colombia>
Crimea	<http://dbpedia.org/resource/Crimea>
Czech Republic	<http://dbpedia.org/resource/Czech_Republic>
Ecuador	<http://dbpedia.org/resource/Ecuador>
República del Ecuador	<http://dbpedia.org/resource/Ecuador>
Egypt	<http://dbpedia.org/resource/Egypt>
El Salvador	<http://dbpedia.org/resource/El_Salvador>
Eritrea	<http://dbpedia.org/resource/Eritrea>
Kenya	<http://dbpedia.org/resource/Kenya>
Jamhuri ya Kenya	<http://dbpedia.org/resource/Kenya>
Republic of Guinea	<http://dbpedia.org/resource/Guinea>
Guyana	<http://dbpedia.org/resource/Guyana>
Latvia	<http://dbpedia.org/resource/Latvia>
Honduras	<http://dbpedia.org/resource/Honduras>
Lesotho	<http://dbpedia.org/resource/Lesotho>
Muso oa Lesotho	<http://dbpedia.org/resource/Lesotho>
Iran	<http://dbpedia.org/resource/Iran>
Israel	<http://dbpedia.org/resource/Israel>
Japan	<http://dbpedia.org/resource/Japan>
Jordan	<http://dbpedia.org/resource/Jordan>
Malaysia	<http://dbpedia.org/resource/Malaysia>
Malta	<http://dbpedia.org/resource/Malta>
Kosovo	<http://dbpedia.org/resource/Kosovo>
Kuwait	<http://dbpedia.org/resource/Kuwait>
Dawlat al-Kuwait	<http://dbpedia.org/resource/Kuwait>
Libya	<http://dbpedia.org/resource/Libya>
Macau	<http://dbpedia.org/resource/Macau>
Mongolia	<http://dbpedia.org/resource/Mongolia>
Morocco	<http://dbpedia.org/resource/Morocco>
Nepal	<http://dbpedia.org/resource/Nepal>
Loktāntrik Ganatantra Nepāl	<http://dbpedia.org/resource/Nepal>
New Zealand	<http://dbpedia.org/resource/New_Zealand>
Aotearoa	<http://dbpedia.org/resource/New_Zealand>
Niger	<http://dbpedia.org/resource/Niger>
Nigeria	<http://dbpedia.org/resource/Nigeria>
North Korea	<http://dbpedia.org/resource/North_Korea>
Northern Ireland	<http://dbpedia.org/resource/Northern_Ireland>
Norlin Airlann	<http://dbpedia.org/resource/Northern_Ireland>
Norway	<http://dbpedia.org/resource/Norway>
Oman	<http://dbpedia.org/resource/Oman>
Panama	<http://dbpedia.org/resource/Panama>
Philippines	<http://dbpedia.org/resource/Philippines>
Repúblika ng Pilipínas	<http://dbpedia.org/resource/Philippines>
Poland	<http://dbpedia.org/resource/Poland>
Portugal	<http://dbpedia.org/resource/Portugal>
Qatar	<http://dbpedia.org/resource/Qatar>
Dawlat Qaṭar	<http://dbpedia.org/resource/Qatar>
România	<http://dbpedia.org/resource/Romania>
Rwanda	<http://dbpedia.org/resource/Rwanda>
Scotland	<http://dbpedia.org/resource/Scotland>
Alba	<http://dbpedia.org/resource/Scotland>
Senegal	<http://dbpedia.org/resource/Senegal>
Slovakia	<http://dbpedia.org/resource/Slovakia>
Slovenia	<http://dbpedia.org/resource/Slovenia>
Spain	<http://dbpedia.org/resource/Spain>
Sudan	<http://dbpedia.org/resource/Sudan>
Jumhūrīyat as-Sūdān	<http://dbpedia.org/resource/Sudan>
Suriname	<http://dbpedia.org/resource/Suriname>
Sweden	<http://dbpedia.org/resource/Sweden>
Tanzania	<http://dbpedia.org/resource/Tanzania>
Thailand	<http://dbpedia.org/resource/Thailand>
Prathet Thai	<http://dbpedia.org/resource/Thailand>
Ratcha Anachak Thai	<http://dbpedia.org/resource/Thailand>
Tokelau	<http://dbpedia.org/resource/Tokelau>
United Arab Emirates	<http://dbpedia.org/resource/United_Arab_Emirates>
Uruguay	<http://dbpedia.org/resource/Uruguay>
Wales	<http://dbpedia.org/resource/Wales>
Cymru	<http://dbpedia.org/resource/Wales>
Yemen	<http://dbpedia.org/resource/Yemen>
Zambia	<http://dbpedia.org/resource/Zambia>
Albania	<http://dbpedia.org/resource/Albania>
Australia	<http://dbpedia.org/resource/Australia>
Austria	<http://dbpedia.org/resource/Austria>
Bosnia and Herzegovina	<http://dbpedia.org/resource/Bosnia_and_Herzegovina>
Bosna i Hercegovina	<http://dbpedia.org/resource/Bosnia_and_Herzegovina>
Cameroon	<http://dbpedia.org/resource/Cameroon>
Croatia	<http://dbpedia.org/resource/Croatia>
Cuba	<http://dbpedia.org/resource/Cuba>
Greece	<http://dbpedia.org/resource/Greece>
Italy	<http://dbpedia.org/resource/Italy>
Kazakhstan	<http://dbpedia.org/resource/Kazakhstan>
Laos	<http://dbpedia.org/resource/Laos>
Liberia	<http://dbpedia.org/resource/Liberia>
Malawi	<http://dbpedia.org/resource/Malawi>
Mali	<http://dbpedia.org/resource/Mali>
Mauritania	<http://dbpedia.org/resource/Mauritania>
Mauritius	<http://dbpedia.org/resource/Mauritius>
Namibia	<http://dbpedia.org/resource/Namibia>
Peru	<http://dbpedia.org/resource/Peru>
República del Perú	<http://dbpedia.org/resource/Peru>
Republic of Macedonia	<http://dbpedia.org/resource/Republic_of_Macedonia>
Singapore	<http://dbpedia.org/resource/Singapore>
Ukraine	<http://dbpedia.org/resource/Ukraine>
